Date,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA
2021-11-30,161.90362548828125,175.35350036621094,140.8334197998047,45.63134765625,322.209228515625,319.87322998046875,32.608829498291016,381.586669921875,162.11910639926788,179.2884979248047,144.90514856073972,46.74430804552508,333.4805001872441,326.8301534505589,33.284439797778,389.3333435058594,156.63416221186944,174.60049438476562,140.53963428895196,45.14906470296401,321.18637478700055,318.32509142216554,31.798500284928068,372.6666564941406,156.70273111321544,178.1750030517578,143.9210829537651,45.90958686906789,332.67612154171803,324.4499077650363,33.100816111812016,381.4566650390625,174048100,80022000,42068000,49460800,25390000,42885600,622066000,81276000
2021-12-01,161.38455200195312,172.18600463867188,139.99374389648438,45.07486343383789,308.4454345703125,319.37982177734375,31.374221801757812,365.0,166.8009284808444,177.99400329589844,144.8560080310681,46.66083358963109,328.20738609874235,328.28159825141586,33.22463920028377,390.9466552734375,161.1494777894876,172.0800018310547,139.85529413547832,45.00066796520616,308.1375874041913,318.712216593667,31.31932783633501,363.586669921875,164.03886252915143,177.25,142.92013447496637,46.224923270658316,327.99885131334366,324.2661342276797,33.15477484562234,386.8999938964844,152052500,74916000,34020000,35093500,30329600,33337600,484368000,68450400
2021-12-02,160.39532470703125,171.8679962158203,141.8938751220703,45.90958786010742,308.2369079589844,318.80889892578125,32.06388854980469,361.5333251953125,160.82628670525173,174.63499450683594,142.78563565182435,46.17855397143902,312.41769563708294,322.6792307522383,32.41520919739524,371.0,154.55778930916287,171.1875,139.1629985850342,44.824453845292076,305.0690338569957,317.17368136684007,30.96501733909854,352.2166748046875,155.47847813349267,173.0,140.1907403286436,45.084143311127484,309.2398812049933,319.59263875837576,31.153653016640646,366.35333251953125,136739200,64726000,29194000,37240800,24396200,30766000,472890000,73114800
2021-12-03,158.51475524902344,169.489501953125,140.93661499023438,45.67771911621094,304.7115173339844,312.5389099121094,30.633663177490234,338.3233337402344,161.57066041655554,173.49349975585938,143.31712699642003,46.42896815606743,311.5735878782237,321.9147890134421,32.06688783545897,363.52667236328125,156.43831855392804,166.92999267578125,139.24886668872693,45.22325903427229,297.4224368749896,307.7203372426535,30.07174997453315,333.4033203125,160.64997170977935,172.75,142.60352464934857,46.076529941788685,311.5537375237762,321.22778400852394,31.9381356119685,361.5966796875,118023100,80712000,41230000,32224900,27471000,41779300,544325000,92322000
2021-12-06,161.9232940673828,171.36849975585938,142.0814666748047,47.2915153503418,315.66497802734375,315.6158447265625,29.978927612304688,336.336669921875,164.43069316687,173.69549560546875,142.77373060812116,47.49555556137703,317.87951975765236,316.83500853773074,30.182531770501555,340.5466613769531,160.9046538424177,166.9344940185547,139.09899659163847,45.612799819620804,304.2149611423583,308.8814765180251,27.983791897824226,316.8333435058594,160.91444299919098,169.64999389648438,141.96782338203911,45.89103904412608,305.99255266304647,313.4484686429607,29.82222966105633,333.836669921875,107497000,68860000,30618000,40336000,21758300,30032600,658938000,81663000
2021-12-07,167.662841796875,176.1645050048828,146.16510009765625,48.75691223144531,320.5707092285156,324.0628662109375,32.36430358886719,350.5833435058594,168.05463216133037,177.49949645996094,146.42464415034237,51.01065604521037,324.27484564424213,324.91431432856854,32.38626422162918,352.5566711425781,164.881197462976,173.33450317382812,144.1384060347131,48.42302373488696,318.7732673727845,319.3991097138028,30.591738246734344,342.2699890136719,165.60599842826275,174.60000610351562,144.50464210812356,50.695317302683456,319.33932063498895,320.88919559415706,30.897148284520917,348.0666809082031,120405400,66410000,32240000,91731500,18794000,31021900,593053000,56084700
2021-12-08,171.4827423095703,176.1580047607422,147.07525634765625,47.996395111083984,328.2669372558594,324.1112365722656,31.76447105407715,356.32000732421875,172.34466628131048,177.17999267578125,147.28022018138094,49.04443332830535,330.4417478782362,324.6240543144924,32.227574704104825,357.4599914550781,167.19273065330603,174.75050354003906,145.30812099210718,47.65323347001306,320.82890430428074,320.0764029941524,31.36025335466527,344.3333435058594,168.5933571073838,176.15049743652344,146.48968433680952,48.756917417243436,322.7455088217183,324.44021120612,31.937136928475184,350.9033203125,116998900,45254000,24270000,37143400,19937700,24761000,475551000,41906400
2021-12-09,170.97340393066406,174.17100524902344,146.5313720703125,46.81850051879883,327.5321044921875,322.3018493652344,30.431055068969727,334.6000061035156,173.11840952908594,176.96949768066406,147.98191443235714,47.84798872448175,333.79833071804273,325.5819398325856,32.142741606231084,354.163330078125,170.34655427614908,174.13949584960938,146.0117992181077,46.77212790930029,325.7247222356388,321.35360755345357,30.36917465615968,334.1199951171875,171.31621864051468,175.75,146.48422766408322,47.579022636185556,327.2540480147095,323.5693805212305,31.67264959184218,353.5466613769531,108923700,46062000,23270000,31694200,16879200,22214200,488507000,59438400
2021-12-10,175.76290893554688,172.21200561523438,146.89161682128906,46.92052459716797,327.46258544921875,331.4358825683594,30.139619827270508,339.010009765625,175.93921831838114,175.927001953125,147.86029563658596,47.36570803777282,332.7059578569133,331.88096247168323,31.24448007552964,340.32666015625,171.1007161505561,170.5,145.60384630237746,46.41969189973621,324.1060270329738,323.9371144658651,29.803271437379514,327.510009765625,171.61003610118843,175.41700744628906,147.58488027246938,47.15239119360821,330.2530905762638,324.12095759451194,31.08977904315852,336.25,115402700,60690000,24458000,23783600,14528000,38095700,488825000,59664300
2021-12-13,172.12913513183594,169.5675048828125,144.7329559326172,46.37331771850586,332.1697082519531,328.3976745605469,28.106552124023438,322.13665771484375,178.3878413686235,172.10000610351562,146.86037554582492,47.31933382452378,338.72393159457016,332.6453782369156,30.235429453900565,335.0,171.92344335477927,169.1300048828125,144.42626742648753,46.326945108388024,327.3037045132729,328.08804090407773,28.06163905199242,317.1400146484375,177.3985839315142,172.0,146.67328207860228,47.16166270451911,328.6542862575993,329.63617965813285,30.190516381869546,333.6966552734375,153237000,62170000,27070000,35726900,22948700,28899400,598344000,78595500
2021-12-14,170.7481231689453,169.0915069580078,142.8278350830078,46.09507751464844,331.42486572265625,317.69610595703125,28.282215118408203,319.5033264160156,174.08806304841983,169.49899291992188,143.3965362015146,46.6237330420713,333.37129119790376,323.7918947949498,28.62255545688328,322.13665771484375,168.67168661995763,166.44000244140625,140.15602113354242,45.7426393170321,325.37711514556946,313.6032204313551,27.197316754829743,310.0,171.64921855709608,167.5500030517578,142.88838224618928,46.20637248410502,325.7743343201105,322.41791434349835,27.64544809567348,315.0,139380400,55976000,38446000,34120400,20461000,44438700,667035000,70806300
2021-12-15,175.6160125732422,173.31500244140625,145.3428192138672,46.99471664428711,339.2899475097656,323.8016662597656,30.400110244750977,325.3299865722656,175.81190028087914,173.60000610351562,145.62071825548696,47.09673850536818,339.73680772798974,324.3241693819211,30.441031340908875,326.25,168.76962734356553,165.19500732421875,140.61553692266676,45.7519151743998,321.7325989098653,313.98070407195604,27.784177393279027,309.4166564941406,171.5121000863054,168.59800720214844,142.33355877435457,46.25274429733826,330.18354541056993,317.957456288933,28.345091097360005,317.7366638183594,131063300,75794000,36370000,32590300,24681300,35381100,698297000,75169200
2021-12-16,168.7206268310547,168.87100219726562,143.36180114746094,47.14311599731445,332.5768737792969,314.36767578125,28.332115173339844,308.97332763671875,177.4181772656769,174.16600036621094,146.56955875627122,47.671771530730446,342.0705559510486,325.84322423785716,31.099754518870387,331.6600036621094,167.2416576691539,168.16050720214844,142.53007278515918,46.91124941114943,331.4249167815428,312.5486152193238,28.038684877718026,307.2833251953125,175.5963934569458,173.36849975585938,146.06685680328061,47.059643884774914,336.62858877910594,324.82724448403934,31.091770564933462,331.5,150185800,60876000,33650000,33132300,22635000,35034800,707366000,82771500
2021-12-17,167.6236572265625,170.0175018310547,140.6621856689453,46.94834899902344,331.47454833984375,313.30328369140625,27.747249603271484,310.8566589355469,169.90578548213614,170.89849853515625,142.75586325436495,47.31933698071769,334.77149487601264,314.3870011788046,28.86608252956396,320.2200012207031,166.20345276063674,165.61349487304688,140.24036978888418,46.382593919041334,328.4556279600217,306.9656284689242,27.706328507960936,303.0133361816406,166.43851201579665,167.7104949951172,141.43136775160448,46.92052613869763,330.4913952399913,310.477958587751,27.930893869344864,304.92333984375,195432700,85542000,50416000,50102300,40012600,47750300,713758000,100437300
2021-12-20,166.26219177246094,167.07899475097656,140.54505920410156,46.0023307800293,323.1924133300781,309.5394592285156,27.665409088134766,299.9800109863281,167.0751397760327,167.87449645996094,140.71131399647618,46.493890364570674,327.61152615092544,312.3357585464639,28.08958664914624,307.2300109863281,164.01925037100784,165.60000610351562,138.27620679750612,45.40875286617138,320.2926556061012,307.2753187116958,27.092519430074276,297.7966613769531,164.82239427695404,166.85000610351562,138.95011570676814,46.28984662993073,327.4923634222205,309.6749054842462,27.25220994036055,303.5666809082031,107499100,57372000,27192000,30140300,17901800,28326500,461847000,56480100
2021-12-21,169.43563842773438,170.41700744628906,142.3966064453125,47.08747100830078,331.88165283203125,316.6802673339844,29.018789291381836,312.84332275390625,169.6413152594918,170.7165069580078,142.7901327368822,47.15239337526762,333.66915403486746,317.1060062417855,29.063702367832537,313.1666564941406,165.64514384449987,165.6475067138672,139.4488771998358,46.317672174260245,321.50413279401295,309.43305015002306,27.3480239896124,295.3733215332031,168.03501238197,167.85049438476562,140.988241195714,46.317672174260245,324.1456839001608,312.80993510182253,28.319144340098806,305.6233215332031,91185900,55956000,28756000,31956300,16116800,24740600,524385000,71517900
2021-12-22,172.03121948242188,171.03700256347656,145.31700134277344,47.2729606628418,328.15771484375,322.39862060546875,29.343154907226562,336.2900085449219,172.24670045723798,172.0500030517578,145.40137057625105,47.31933327241857,332.189548621576,322.79530359298326,29.497855901035386,338.5533447265625,168.61292124127107,168.50050354003906,141.9946163473408,46.56808426046287,325.98290422148904,315.1901164906838,28.393993446436667,319.01666259765625,169.48463429565436,169.27000427246094,141.9946163473408,46.96689507122911,331.48445199749193,317.6574409711616,28.835140182439634,321.88665771484375,92135300,55036000,26322000,23307900,16764600,24831500,395184000,93634200
2021-12-23,172.65806579589844,171.06849670410156,145.81478881835938,47.58830261230469,332.9145202636719,323.8403015136719,29.58269500732422,355.6666564941406,173.2163614776015,171.97500610351562,147.13183363244713,47.97783680496576,334.33462376937337,325.4852041450204,30.00088555963705,357.6600036621094,171.66882311821325,170.14999389648438,145.3537640704066,47.34715936522573,326.0822401309469,321.9438474243752,29.374099442198006,332.5199890136719,172.23690795484498,170.42799377441406,145.40140824152084,47.3749857632755,327.81019082525495,321.963188450899,29.697472444063603,335.6000061035156,68356600,36788000,26384000,25198200,13987700,19617800,343022000,92713200
